Entity,Code,Year,Renewables (% equivalent primary energy)
South Korea,KOR,2005,0.4535388648509979
South Korea,KOR,2006,0.45026689767837524
South Korea,KOR,2007,0.5043082237243652
South Korea,KOR,2008,0.5293462872505188
South Korea,KOR,2009,0.570094645023346
South Korea,KOR,2010,0.9195590615272522
South Korea,KOR,2011,1.2539451122283936
South Korea,KOR,2012,1.288482666015625
South Korea,KOR,2013,1.515562891960144
South Korea,KOR,2014,1.7640750408172607
South Korea,KOR,2015,1.9041190147399902
South Korea,KOR,2016,2.0268120765686035
South Korea,KOR,2017,2.4301843643188477
South Korea,KOR,2018,2.746018409729004
South Korea,KOR,2019,2.9800333976745605
South Korea,KOR,2020,3.142855405807495
South Korea,KOR,2021,3.7249858379364014
South and Central America (BP),,1965,9.643436431884766
South and Central America (BP),,1966,10.099780082702637
South and Central America (BP),,1967,10.264434814453125
South and Central America (BP),,1968,10.269983291625977
South and Central America (BP),,1969,10.585350036621094
South and Central America (BP),,1970,11.750904083251953
South and Central America (BP),,1971,12.654672622680664
South and Central America (BP),,1972,13.22651481628418
South and Central America (BP),,1973,13.415132522583008
South and Central America (BP),,1974,14.497663497924805
South and Central America (BP),,1975,15.47058391571045
South and Central America (BP),,1976,16.16576385498047
South and Central America (BP),,1977,16.9472599029541
South and Central America (BP),,1978,17.913528442382812
South and Central America (BP),,1979,19.147554397583008
South and Central America (BP),,1980,20.495071411132812
South and Central America (BP),,1981,20.762903213500977
South and Central America (BP),,1982,22.376171112060547
South and Central America (BP),,1983,24.1560115814209
South and Central America (BP),,1984,25.55970001220703
South and Central America (BP),,1985,26.97966957092285
South and Central America (BP),,1986,27.777761459350586
South and Central America (BP),,1987,28.448474884033203
South and Central America (BP),,1988,28.598567962646484
South and Central America (BP),,1989,28.87224006652832
South and Central America (BP),,1990,29.70694923400879
South and Central America (BP),,1991,30.710893630981445
South and Central America (BP),,1992,29.91059684753418
South and Central America (BP),,1993,30.842647552490234
South and Central America (BP),,1994,30.705934524536133
South and Central America (BP),,1995,30.475994110107422
South and Central America (BP),,1996,30.514223098754883
South and Central America (BP),,1997,30.418794631958008
South and Central America (BP),,1998,29.906204223632812
South and Central America (BP),,1999,29.916494369506836
South and Central America (BP),,2000,30.45580291748047
South and Central America (BP),,2001,28.665403366088867
South and Central America (BP),,2002,29.601972579956055
South and Central America (BP),,2003,30.20722007751465
South and Central America (BP),,2004,29.696252822875977
South and Central America (BP),,2005,30.375289916992188
South and Central America (BP),,2006,30.115812301635742
South and Central America (BP),,2007,30.155399322509766
South and Central America (BP),,2008,30.233976364135742
South and Central America (BP),,2009,31.516334533691406
South and Central America (BP),,2010,30.566173553466797
South and Central America (BP),,2011,30.697843551635742
South and Central America (BP),,2012,29.603130340576172
South and Central America (BP),,2013,28.693208694458008
South and Central America (BP),,2014,28.405698776245117
South and Central America (BP),,2015,28.88749885559082
South and Central America (BP),,2016,30.080419540405273
South and Central America (BP),,2017,31.089473724365234
South and Central America (BP),,2018,32.62239456176758
South and Central America (BP),,2019,33.205711364746094
South and Central America (BP),,2020,35.843475341796875
South and Central America (BP),,2021,33.634803771972656
Spain,ESP,1965,17.25343894958496
Spain,ESP,1966,21.11080551147461
Spain,ESP,1967,16.279375076293945
Spain,ESP,1968,16.65400505065918
Spain,ESP,1969,18.460060119628906
Spain,ESP,1970,15.559318542480469
Spain,ESP,1971,16.187814712524414
Spain,ESP,1972,16.690349578857422
Spain,ESP,1973,12.429852485656738
Spain,ESP,1974,12.622825622558594
Spain,ESP,1975,10.509173393249512
Spain,ESP,1976,7.937400817871094
Spain,ESP,1977,14.476511001586914
Spain,ESP,1978,14.644488334655762
Spain,ESP,1979,15.632555961608887
Spain,ESP,1980,9.981171607971191
Spain,ESP,1981,7.4071197509765625
Spain,ESP,1982,8.885108947753906
Spain,ESP,1983,8.936359405517578
Spain,ESP,1984,10.203864097595215
Spain,ESP,1985,10.242602348327637
Spain,ESP,1986,8.501705169677734
Spain,ESP,1987,8.477232933044434
Spain,ESP,1988,10.430665016174316
Spain,ESP,1989,5.533020496368408
Spain,ESP,1990,7.1988701820373535
Spain,ESP,1991,7.452907562255859
Spain,ESP,1992,5.013250350952148
Spain,ESP,1993,6.625087738037109
Spain,ESP,1994,7.313819408416748
Spain,ESP,1995,5.938282489776611
Spain,ESP,1996,9.653098106384277
Spain,ESP,1997,8.211402893066406
Spain,ESP,1998,7.815210342407227
Spain,ESP,1999,5.6294965744018555
Spain,ESP,2000,7.008230686187744
Spain,ESP,2001,9.167547225952148
Spain,ESP,2002,6.44627046585083
Spain,ESP,2003,9.758903503417969
Spain,ESP,2004,8.44090461730957
Spain,ESP,2005,6.923494338989258
Spain,ESP,2006,8.360922813415527
Spain,ESP,2007,9.064817428588867
Spain,ESP,2008,9.948370933532715
Spain,ESP,2009,12.662100791931152
Spain,ESP,2010,16.7428035736084
Spain,ESP,2011,15.473434448242188
Spain,ESP,2012,15.889772415161133
Spain,ESP,2013,19.901302337646484
Spain,ESP,2014,20.08855438232422
Spain,ESP,2015,17.507902145385742
Spain,ESP,2016,18.609848022460938
Spain,ESP,2017,15.682350158691406
Spain,ESP,2018,18.230533599853516
Spain,ESP,2019,17.375850677490234
Spain,ESP,2020,22.10265350341797
Spain,ESP,2021,22.341663360595703
Sri Lanka,LKA,1965,10.324469566345215
Sri Lanka,LKA,1966,10.943519592285156
Sri Lanka,LKA,1967,10.974931716918945
Sri Lanka,LKA,1968,12.205965042114258
Sri Lanka,LKA,1969,13.611146926879883
Sri Lanka,LKA,1970,11.076228141784668
Sri Lanka,LKA,1971,12.125496864318848
Sri Lanka,LKA,1972,11.862130165100098
Sri Lanka,LKA,1973,9.413183212280273
Sri Lanka,LKA,1974,15.722433090209961
Sri Lanka,LKA,1975,16.262670516967773
Sri Lanka,LKA,1976,17.04448890686035
Sri Lanka,LKA,1977,17.357145309448242
Sri Lanka,LKA,1978,18.62853240966797
Sri Lanka,LKA,1979,18.950075149536133
Sri Lanka,LKA,1980,19.01776695251465
Sri Lanka,LKA,1981,19.23289680480957
Sri Lanka,LKA,1982,18.261444091796875
Sri Lanka,LKA,1983,14.019515037536621
Sri Lanka,LKA,1984,22.732343673706055
Sri Lanka,LKA,1985,27.56766700744629
Sri Lanka,LKA,1986,28.917848587036133
Sri Lanka,LKA,1987,23.145030975341797
Sri Lanka,LKA,1988,27.905099868774414
Sri Lanka,LKA,1989,30.912357330322266
Sri Lanka,LKA,1990,31.11433982849121
Sri Lanka,LKA,1991,30.897804260253906
Sri Lanka,LKA,1992,26.79806900024414
Sri Lanka,LKA,1993,32.161766052246094
Sri Lanka,LKA,1994,31.979883193969727
Sri Lanka,LKA,1995,32.76565170288086
Sri Lanka,LKA,1996,22.438142776489258
Sri Lanka,LKA,1997,23.044755935668945
Sri Lanka,LKA,1998,24.54949378967285
Sri Lanka,LKA,1999,24.37567138671875
Sri Lanka,LKA,2000,17.71566390991211
Sri Lanka,LKA,2001,17.628238677978516
Sri Lanka,LKA,2002,14.75817584991455
Sri Lanka,LKA,2003,17.510587692260742
Sri Lanka,LKA,2004,16.02532196044922
Sri Lanka,LKA,2005,16.077098846435547
Sri Lanka,LKA,2006,19.959388732910156
Sri Lanka,LKA,2007,16.62855339050293
Sri Lanka,LKA,2008,18.366500854492188
Sri Lanka,LKA,2009,17.01668357849121
Sri Lanka,LKA,2010,22.89451789855957
Sri Lanka,LKA,2011,17.23112678527832
Sri Lanka,LKA,2012,12.257574081420898
Sri Lanka,LKA,2013,24.803470611572266
Sri Lanka,LKA,2014,15.63290023803711
Sri Lanka,LKA,2015,18.154891967773438
Sri Lanka,LKA,2016,12.233839988708496
Sri Lanka,LKA,2017,12.293098449707031
Sri Lanka,LKA,2018,18.060565948486328
Sri Lanka,LKA,2019,14.141156196594238
Sri Lanka,LKA,2020,15.967421531677246
Sri Lanka,LKA,2021,21.40453338623047
Sweden,SWE,1965,34.93345642089844
Sweden,SWE,1966,32.100040435791016
Sweden,SWE,1967,33.954410552978516
Sweden,SWE,1968,31.443342208862305
Sweden,SWE,1969,26.98740577697754
Sweden,SWE,1970,25.301185607910156
Sweden,SWE,1971,31.1534366607666
Sweden,SWE,1972,31.288211822509766
Sweden,SWE,1973,33.03090286254883
Sweden,SWE,1974,34.125144958496094
Sweden,SWE,1975,32.381832122802734
Sweden,SWE,1976,29.012697219848633
Sweden,SWE,1977,28.68962287902832
Sweden,SWE,1978,26.57862091064453
Sweden,SWE,1979,26.679983139038086
Sweden,SWE,1980,27.514144897460938
Sweden,SWE,1981,28.239700317382812
Sweden,SWE,1982,27.447362899780273
Sweden,SWE,1983,32.015357971191406
Sweden,SWE,1984,32.46769332885742
Sweden,SWE,1985,31.184616088867188
Sweden,SWE,1986,26.016822814941406
Sweden,SWE,1987,31.165653228759766
Sweden,SWE,1988,31.07804298400879
Sweden,SWE,1989,32.6711311340332
Sweden,SWE,1990,32.335453033447266
Sweden,SWE,1991,29.826091766357422
Sweden,SWE,1992,34.72596740722656
Sweden,SWE,1993,35.322853088378906
Sweden,SWE,1994,28.229177474975586
Sweden,SWE,1995,32.06243133544922
Sweden,SWE,1996,25.265974044799805
Sweden,SWE,1997,32.551292419433594
Sweden,SWE,1998,32.492069244384766
Sweden,SWE,1999,32.139984130859375
Sweden,SWE,2000,38.59571075439453
Sweden,SWE,2001,35.828453063964844
Sweden,SWE,2002,32.52216720581055
Sweden,SWE,2003,27.90148162841797
Sweden,SWE,2004,30.187602996826172
Sweden,SWE,2005,34.73208999633789
Sweden,SWE,2006,32.33127975463867
Sweden,SWE,2007,34.599029541015625
